date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,rain_sum
2015-01-01,16.1,22.8,9.7,66,1023.4,1,7.7,10.6,0.0,0.0
2015-01-02,15.8,21.4,10.7,66,1022.8,14,5.9,10.9,0.0,0.0
2015-01-03,16.0,19.9,11.2,78,1020.1,68,5.2,10.7,0.0,0.0
2015-01-04,18.7,22.3,16.4,84,1013.5,83,8.0,12.3,0.2,0.2
2015-01-05,20.8,25.1,17.8,84,1010.7,75,5.1,7.9,0.0,0.0
2015-01-06,20.9,24.1,17.3,92,1012.8,96,6.0,14.5,4.6,4.6
2015-01-07,15.9,17.3,14.5,79,1019.4,100,9.8,13.8,5.6,5.6
2015-01-08,14.1,15.2,13.2,79,1024.4,100,7.9,10.5,5.1,5.1
2015-01-09,13.9,15.3,12.0,70,1024.7,100,9.2,12.7,2.2,2.2
2015-01-10,11.9,12.3,11.4,88,1024.7,100,7.9,10.2,20.1,20.1
2015-01-11,12.5,13.5,11.7,90,1023.5,100,7.8,11.0,4.9,4.9
2015-01-12,14.5,19.3,11.6,75,1023.3,67,7.4,14.9,1.9,1.9
2015-01-13,13.8,19.0,8.6,68,1023.2,2,5.1,6.8,0.0,0.0
2015-01-14,13.3,19.0,7.5,75,1023.5,15,4.4,8.0,0.0,0.0
2015-01-15,13.9,19.3,7.5,78,1022.1,52,4.8,10.7,0.0,0.0
2015-01-16,14.6,20.2,8.6,75,1022.9,22,5.4,8.7,0.0,0.0
2015-01-17,15.2,21.3,9.2,73,1023.0,13,7.5,9.9,0.0,0.0
2015-01-18,16.5,21.4,11.1,71,1023.0,73,4.0,8.2,0.0,0.0
2015-01-19,16.9,20.7,14.0,64,1022.2,65,5.6,10.2,0.0,0.0
2015-01-20,16.6,22.2,11.7,74,1019.9,19,5.5,7.4,0.0,0.0
2015-01-21,17.1,22.7,12.2,78,1022.0,34,5.5,7.6,0.0,0.0
2015-01-22,17.8,24.1,12.4,76,1019.9,38,6.4,14.3,0.0,0.0
2015-01-23,18.4,23.2,14.6,81,1015.8,53,10.5,14.7,0.0,0.0
