model,split,target,threshold,log_loss,brier_score,roc_auc,pr_auc,accuracy,precision,recall,f1,tn,fp,fn,tp,n_estimators,max_depth,min_samples_leaf
random_forest,valid,rain_next_1h,0.5,0.331987268426754,0.1008207046451922,0.9293400167084378,0.8434617358850326,0.8706739526411658,0.7410373760488177,0.8095833333333333,0.7737953006770211,5705,679,457,1943,200,8.0,5
random_forest,valid,rain_next_1h,0.5,0.3312332991842381,0.10043345853619214,0.9297446089181287,0.8453654095830248,0.8713570127504554,0.7414448669201521,0.8125,0.7753479125248509,5704,680,450,1950,300,8.0,3
random_forest,valid,rain_next_1h,0.5,0.313054470037902,0.0949648806855445,0.932469454887218,0.8522118441904547,0.8787568306010929,0.7641472101305896,0.8045833333333333,0.7838441242135173,5788,596,469,1931,300,12.0,5
random_forest,valid,rain_next_1h,0.5,0.3112275164993323,0.09446064097865776,0.9320172827903092,0.8517114265812316,0.8795537340619308,0.7673306772908367,0.8025,0.7845213849287169,5800,584,474,1926,400,12.0,3
random_forest,valid,rain_next_1h,0.5,0.30416964850711903,0.0923240620709513,0.9325981620718463,0.8542741773047446,0.8813752276867031,0.7735697018533441,0.8,0.7865628840639083,5822,562,480,1920,400,16.0,5
random_forest,valid,rain_next_1h,0.5,0.3009372964040928,0.09142011749645274,0.9328835108604845,0.8553645804169525,0.8801229508196722,0.7732251521298175,0.7941666666666667,0.7835560123329908,5825,559,494,1906,500,20.0,5
random_forest,valid,rain_next_1h,0.5,0.3001835005393365,0.09117674494912804,0.9331436011904762,0.8562332750410478,0.88091985428051,0.7740890688259109,0.7966666666666666,0.7852156057494867,5826,558,488,1912,400,,5
random_forest,valid,rain_next_2h,0.5,0.41345793312477835,0.13276743316090941,0.890827589807853,0.7567765236480474,0.8160291438979964,0.6297154202514891,0.7929166666666667,0.7019549981556621,5265,1119,497,1903,200,8.0,5
random_forest,valid,rain_next_2h,0.5,0.413121568921097,0.1326269077439921,0.8907886252088555,0.7570674804316956,0.817167577413479,0.6315440689198144,0.7941666666666667,0.7035806570690292,5272,1112,494,1906,300,8.0,3
random_forest,valid,rain_next_2h,0.5,0.3896496028555527,0.12507863177385956,0.8943132571010861,0.7651035967282325,0.8189890710382514,0.6414106145251397,0.7654166666666666,0.6979483282674772,5357,1027,563,1837,300,12.0,5
random_forest,valid,rain_next_2h,0.5,0.38794305649775146,0.1244374671328021,0.8934951310568088,0.7637967131730099,0.8220628415300546,0.6496245977833393,0.7570833333333333,0.6992495670579181,5404,980,583,1817,400,12.0,3
random_forest,valid,rain_next_2h,0.5,0.3771692027680715,0.12085998313901042,0.8947358304615706,0.7679082054084406,0.8257058287795993,0.6614641397250093,0.7416666666666667,0.6992732272637988,5473,911,620,1780,400,16.0,5
random_forest,valid,rain_next_2h,0.5,0.3724927555046054,0.11912829283231435,0.8954731881787803,0.7686298618294748,0.8287795992714025,0.6709923664122137,0.7325,0.700398406374502,5522,862,642,1758,500,20.0,5
random_forest,valid,rain_next_2h,0.5,0.3744240074484184,0.11858503221169495,0.8957870914264828,0.7704722085949456,0.8303734061930783,0.6747311827956989,0.7320833333333333,0.7022382094324541,5537,847,643,1757,400,,5
random_forest,valid,rain_next_3h,0.5,0.4453176271797401,0.1457613810078198,0.8713180085630744,0.7159503180613281,0.7882513661202186,0.5827713059472717,0.7920833333333334,0.6714941716707877,5023,1361,499,1901,200,8.0,5
random_forest,valid,rain_next_3h,0.5,0.4451511517104556,0.14568742006568686,0.8711517073934838,0.7152028160960062,0.7893897996357013,0.5844594594594594,0.7929166666666667,0.6729137199434229,5031,1353,497,1903,300,8.0,3
random_forest,valid,rain_next_3h,0.5,0.4183896666277025,0.1362884097637823,0.8763059993734336,0.7261981462792386,0.8025956284153005,0.6101190476190477,0.76875,0.6803097345132744,5205,1179,555,1845,300,12.0,5
random_forest,valid,rain_next_3h,0.5,0.4159018714568113,0.13538631033042609,0.8758813048245615,0.7257947260795221,0.8038479052823315,0.6143194866599122,0.7579166666666667,0.6786047379220295,5242,1142,581,1819,400,12.0,3
random_forest,valid,rain_next_3h,0.5,0.40379818481696766,0.13066307414758152,0.8778989792188806,0.7297885174299085,0.8098816029143898,0.6294326241134752,0.7395833333333334,0.6800766283524904,5339,1045,625,1775,400,16.0,5
random_forest,valid,rain_next_3h,0.5,0.3980022238467178,0.12871294591236265,0.8786689379699247,0.7327734135012549,0.813752276867031,0.6408554572271387,0.7241666666666666,0.6799687010954617,5410,974,662,1738,500,20.0,5
random_forest,valid,rain_next_3h,0.5,0.39718301072877726,0.12833743535933514,0.8785978618421053,0.7322177690897951,0.8155737704918032,0.6449814126394052,0.7229166666666667,0.6817288801571709,5429,955,665,1735,400,,5
