feature,coefficient,abs_coefficient,is_zero
temperature_2m_mean,2.4999936,2.4999936,False
temperature_2m_min,1.0597302,1.0597302,False
temperature_lag1,-1.0438427,1.0438427,False
temperature_2m_max,0.84732205,0.84732205,False
day_cos,-0.68956506,0.68956506,False
temperature_rolling_3days,0.46758786,0.46758786,False
wind_speed_10m_max,-0.44609576,0.44609576,False
pressure_change,-0.35295326,0.35295326,False
relative_humidity_2m_mean,0.33224562,0.33224562,False
temperature_lag2,0.325477,0.325477,False
cloud_cover_mean,-0.27234873,0.27234873,False
month_cos,-0.26877826,0.26877826,False
humidity_rolling_3days,-0.26794943,0.26794943,False
wind_speed_10m_mean,0.22933415,0.22933415,False
pressure_lag1,0.17894824,0.17894824,False
rain_lag1,0.17331187,0.17331187,False
precipitation_sum,-0.16916737,0.16916737,False
temp_range,-0.12439138,0.12439138,False
temperature_rolling_7days,0.08333533,0.08333533,False
day_sin,-0.081081904,0.081081904,False
humidity_lag1,0.08094876,0.08094876,False
rain_rolling_7days,0.05358162,0.05358162,False
temperature_lag3,-0.038747404,0.038747404,False
month_sin,-0.026142927,0.026142927,False
pressure_msl_mean,0.01444498,0.01444498,False
rain_lag2,0.009888016,0.009888016,False
rain_rolling_3days,0.0,0.0,True
