max_depth,learning_rate,reg_lambda,subsample,validation_r2
3,0.05,0.1,0.8,0.7063289880752563
3,0.05,0.1,1.0,0.7057164311408997
3,0.05,1.0,0.8,0.7041855454444885
3,0.05,1.0,1.0,0.7045860290527344
3,0.05,10.0,0.8,0.6900759935379028
3,0.05,10.0,1.0,0.6927763223648071
3,0.1,0.1,0.8,0.8717244863510132
3,0.1,0.1,1.0,0.8692269325256348
3,0.1,1.0,0.8,0.8699331283569336
3,0.1,1.0,1.0,0.8701956868171692
3,0.1,10.0,0.8,0.8612478971481323
3,0.1,10.0,1.0,0.8632708191871643
3,0.2,0.1,0.8,0.9243401288986206
3,0.2,0.1,1.0,0.9228419065475464
3,0.2,1.0,0.8,0.9242579936981201
3,0.2,1.0,1.0,0.9229718446731567
3,0.2,10.0,0.8,0.9209717512130737
3,0.2,10.0,1.0,0.9214889407157898
4,0.05,0.1,0.8,0.716193675994873
4,0.05,0.1,1.0,0.7146673202514648
4,0.05,1.0,0.8,0.7137529850006104
4,0.05,1.0,1.0,0.71178138256073
4,0.05,10.0,0.8,0.6952311992645264
4,0.05,10.0,1.0,0.6982840895652771
4,0.1,0.1,0.8,0.8806971907615662
4,0.1,0.1,1.0,0.8809770345687866
4,0.1,1.0,0.8,0.880913257598877
4,0.1,1.0,1.0,0.8792588710784912
4,0.1,10.0,0.8,0.8675512075424194
4,0.1,10.0,1.0,0.8704674243927002
4,0.2,0.1,0.8,0.9282035827636719
4,0.2,0.1,1.0,0.9320364594459534
4,0.2,1.0,0.8,0.9286580681800842
4,0.2,1.0,1.0,0.9312494397163391
4,0.2,10.0,0.8,0.9256415367126465
4,0.2,10.0,1.0,0.9260016679763794
5,0.05,0.1,0.8,0.7252633571624756
5,0.05,0.1,1.0,0.7202655076980591
5,0.05,1.0,0.8,0.7185806035995483
5,0.05,1.0,1.0,0.7173725366592407
5,0.05,10.0,0.8,0.6971416473388672
5,0.05,10.0,1.0,0.7017463445663452
5,0.1,0.1,0.8,0.8905739784240723
5,0.1,0.1,1.0,0.8880448937416077
5,0.1,1.0,0.8,0.8876204490661621
5,0.1,1.0,1.0,0.8844532370567322
5,0.1,10.0,0.8,0.872940182685852
5,0.1,10.0,1.0,0.8749492168426514
5,0.2,0.1,0.8,0.9330457448959351
5,0.2,0.1,1.0,0.9326132535934448
5,0.2,1.0,0.8,0.933209240436554
5,0.2,1.0,1.0,0.9313028454780579
5,0.2,10.0,0.8,0.9289495348930359
5,0.2,10.0,1.0,0.9291276335716248
